"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"10 644 results found for (ti=""smart glasses"" OR ti=""smart eyewear"" OR ti=""audio glasses"" OR ti=""hearing glasses"" OR ti=""AR glasses"" OR ti=""augmented reality glasses"" OR ti=""intelligent eyewear"" OR ti=""head mounted display"") AND (txt=""wearable"" OR txt=""augmented reality"" OR txt=""mixed reality"" OR txt=""display"" OR txt=""sensor"" OR txt=""connectivity"" OR txt=""heads-up"" OR txt=""hands-free"" OR txt=""beamforming"") NOT (ti=""contact lens"" OR ti=""VR headset"" OR ti=""virtual reality headset"")";"";"";"";"";"";"";"";"";
"Results 1 to 500 displayed";"";"";"";"";"";"";"";"";
"Query language: en";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"36";"HEAD-MOUNTED DISPLAY AND INTELLIGENT TOOL FOR GENERATING AND DISPLAYING AUGMENTED REALITY CONTENT";"GREENHALGH PHILIP ANDREW [GB] 
STANNARD ADRIAN [GB] 
HAYES BRADLEY [GB] 
MURPHY COLM [IE]";"DAQRI LLC [US]";"US2018096531A1";"2016-09-30";"G02B27/01 
G06F3/01 
G06F3/03 
G06K9/00 
G06T19/00 
H04N23/90";"B25B13/461 (EP,US) 
B25B23/14 (EP,US) 
B25B23/147 (EP,US) 
G02B27/0172 (EP,US) 
G06F21/32 (EP,US) 
G06F3/011 (EP,US) 
G06F3/012 (EP,US) 
G06V20/20 (EP,US) 
H04L63/0861 (EP,US) 
H04N23/63 (EP) 
H04N7/18 (EP,US) 
H04W12/06 (EP,US) 
H04W12/33 (EP) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0141 (EP,US) 
G06F2203/011 (EP,US) 
H04N23/63 (US)";"2018-04-05";"2018-04-05";"061757150";
"37";"AUGMENTED REALITY GLASSES DEVICE";"LI DIPENG [CN]";"LI DIPENG [CN]";"WO2020001043A1";"2018-06-30";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0138 (CN)";"2020-01-02";"2019-01-18";"065082304";
"38";"AUGMENTED REALITY OPTICAL SYSTEM COMPRISING REFLECTIVE SURFACE, AND HEAD-MOUNTED DISPLAY DEVICE USING SAME";"CHOI CHIWON [KR] 
CHEONG HEEJAE [KR]";"P&C SOLUTION [KR]";"WO2021246634A1";"2020-06-02";"G02B27/01 
G02B5/10";"G02B27/01 (EP) 
G02B27/0172 (KR) 
G02B5/10 (EP,KR) 
G02B2027/0178 (KR)";"2021-12-09";"2021-12-09";"078831327";
"39";"HEAD MOUNTED DISPLAY";"SMOUT ANDREW M C [GB]";"CANON MEDICAL SYSTEMS CORP [JP]";"US2025291410A1";"2024-03-14";"G06F3/01";"G06F3/013 (EP,US)";"2025-09-18";"2025-09-18";"097028586";
"40";"MOTION DETECTION AUGMENTED REALITY GLASSES";"RIM CHAI YEOL [KR] 
KANG DONG SEOB [KR]";"KAY VISION INC [KR]";"WO2019074169A1";"2017-10-11";"G02B27/01 
G06F3/01";"G02B27/01 (EP) 
G06F3/01 (EP)";"2019-04-18";"2019-04-18";"066100764";
"41";"Big-view-field multi-display-depth wearable light field AR (augmented reality) glasses";"WEI YIZHEN 
QIAN WEI 
ZHANG ZHUOPENG";"LIGHTIN INC";"CN108873345A";"2018-07-09";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0123 (CN) 
G02B2027/0178 (CN)";"2018-11-23";"2018-11-23";"064300274";
"42";"Augmented reality glasses detecting movements";"IM CHAE YEOL [KR]";"KAY VISION INC [KR]";"KR102133219B1 
KR20190041048A";"2017-10-11";"G02B27/01 
G06F3/01";"G06F3/012 (KR) 
G06F3/013 (KR) 
G02B2027/0178 (KR) 
G02B2027/0187 (KR)";"2019-04-22 
2020-07-14";"2019-04-22";"066283147";
"43";"SURGEON HEAD-MOUNTED DISPLAY APPARATUSES";"JONES KENNETH MILTON [US] 
POPOOLAPADE JOHN [US] 
CALLOWAY THOMAS [US] 
LEMOINE THIERRY [FR] 
JUTTEAU CHRISTIAN [FR] 
BRUZY CHRISTOPHE [FR] 
JAMES YANNICK [FR] 
LAGUARDA JOACHIM [FR] 
XING DONG-MEI PEI [FR] 
GORGES SEBASTIEN [FR] 
YARIN PAUL MICHAEL [US]";"GLOBUS MEDICAL INC [US]";"US11763531B2 
US2022051484A1";"2015-02-03";"A61B34/10 
A61B90/00 
G06F3/01 
G06F3/0346 
G06T19/00 
G06T19/20";"A61B34/10 (EP,US) 
A61B34/20 (EP) 
A61B90/37 (EP,US) 
G06F3/011 (EP,US) 
G06F3/012 (EP,US) 
G06F3/017 (EP,US) 
G06F3/0346 (EP,US) 
G06T19/006 (EP,US) 
G06T19/20 (EP,US) 
A61B2034/105 (EP,US) 
A61B2034/2055 (EP) 
A61B2090/365 (EP,US) 
A61B2090/368 (EP,US) 
A61B2090/372 (EP,US) 
G06T2207/30204 (US) 
G06T2210/41 (EP,US) 
G06T2219/2016 (EP,US)";"2022-02-17 
2023-09-19";"2016-08-04";"056553246";
"44";"TACTICAL TRAINING SYSTEM SHARING THE VIEW FIELD OF HEAD MOUNTED DISPLAY APPARATUS";"CHIWON CHOI 
HEEJAE CHEONG";"P&C SOLUTION [KR]";"KR102299346B1";"2020-07-29";"G02B27/01 
G06F3/01 
G06F3/16 
G06T19/00 
G09B9/00";"";"2021-09-08";"2021-09-08";"077787788";
"45";"MULTIFUNCTIONAL AUGMENTED REALITY GLASSES, MODULARIZED AUGMENTED REALITY GLASSES, AND HEAD MOTION DETECTION AUGMENTED REALITY GLASSES";"RIM CHAI YEOL [KR]";"KAY VISION INC [KR]";"WO2021107527A1";"2019-11-29";"G02B27/00 
G02B27/01 
G06T19/00";"G02B27/00 (EP) 
G02B27/01 (EP) 
G06T19/00 (EP)";"2021-06-03";"2021-06-03";"076130643";
"46";"MEDIA STREAMING TO AUGMENTED REALITY GLASSES OVER A LOCAL NETWORK";"LITTEL JEREMY [US] 
SOBINOV DMITRY [AU]";"SNAP INC [US]";"US2025272047A1";"2023-01-11";"G06F3/01 
G06F3/14";"G06F3/011 (EP) 
G06F3/013 (EP) 
G06F3/014 (EP) 
G06F3/017 (EP,US) 
G06F3/1454 (EP,US)";"2025-08-28";"2025-06-24";"096097270";
"47";"AR glasses and wearable system";"YU LINWEI 
LIN YIBANG";"HUAWEI TECH CO LTD";"CN110346935A";"2019-06-25";"G02B27/01";"G02B27/0101 (CN) 
G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2019-10-18";"2019-10-18";"068183043";
"48";"AR glasses and wearable system";"YU LINWEI 
LIN YIBANG";"HUAWEI TECH CO LTD";"CN210666200U";"2019-06-25";"G02B27/01";"";"2020-06-02";"2020-06-02";"070840427";
"49";"ENHANCED READING WITH AR GLASSES";"GURGUL PIOTR [US] 
ZAKRZEWSKI TOMASZ [US]";"SNAP INC [US]";"WO2023129380A1";"2021-12-30";"G06F1/3203 
G06F1/3287 
G06F3/01 
G06T19/00";"G02B27/0172 (EP) 
G06F1/3203 (EP) 
G06F1/3287 (EP) 
G06F3/011 (EP) 
G02B2027/0138 (EP) 
G02B2027/014 (EP)";"2023-07-06";"2023-07-06";"085222398";
"50";"HEAD-MOUNTED DISPLAY DEVICE WHICH PROVIDES SURROUND VIDEO";"BAR-ZEEV AVI [US] 
KIPMAN ALEX ABEN-ATHAR [US]";"BAR-ZEEV AVI [US] 
KIPMAN ALEX ABEN-ATHAR [US] 
MICROSOFT CORP [US]";"US2012127284A1 
US8576276B2";"2010-11-18";"H04N13/04 
H04N7/18 
G02B27/01 
G06F3/01";"G02B27/017 (EP,US) 
G06T19/006 (EP,US) 
G09G3/003 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/0187 (EP,US) 
G02B27/0093 (EP,US) 
G09G2340/12 (EP,US)";"2012-05-24 
2013-11-05";"2012-05-24";"046064009";
"51";"Clamping piece type augmented reality glasses";"ZHU CHENCHEN 
XING YUKUN 
ZHANG MENGHUA 
LI JIE";"ARTIZAN SHANGHAI DISPLAY TECH CO LTD";"CN221056761U";"2023-10-25";"G02B27/01";"";"2024-05-31";"2024-05-31";"091200309";
"52";"Augmented reality glasses with adjustable transmittance";"LI XUEYUAN 
LYU XUN 
ZHU PING 
LI WEIWEI 
LIU SHENGFANG 
ZHAO ZHENGTAO";"ANHUI HYSON INTELLIGENT SCIENCE AND TECH LIMITED COMPANY";"CN216696852U";"2021-08-25";"G02B27/01";"";"2022-06-07";"2022-06-07";"081813881";
"53";"2 IMAGE OPTIMIZATION METHOD OF HEAD MOUNTED DISPLAY APPARATUS USING TWO ILLUMINANCE SENSORS";"YOUNGBIN KIM 
CHIWON CHOI";"P&C SOLUTION [KR]";"KR102235903B1 
KR20200097408A";"2019-02-08";"G02B27/01";"G02B27/017 (KR) 
G02B2027/0118 (KR) 
G02B2027/014 (KR)";"2020-08-19 
2021-04-05";"2020-08-19";"072265553";
"54";"Augmented Reality Head Mounted Display Dystem";"MIN SUNG WOOK [KR] 
CHOI KI HONG [KR]";"UNIV INDUSTRY COOPERATION GROUP KYUNG HEE UNIV [KR]";"KR101965785B1 
KR20180125349A";"2017-05-15";"G02B27/01 
G02B5/12";"G02B27/0172 (KR) 
G02B27/0189 (KR) 
G02B5/12 (KR)";"2018-11-23 
2019-04-04";"2018-11-23";"064565474";
"55";"HEAD MOUNTED DISPLAY CALIBRATION";"MULLINS BRIAN [US]";"MULLINS BRIAN [US] 
DAQRI LLC [US]";"US2016225191A1";"2015-02-02";"G02B27/01 
G06F3/01 
G06T19/00";"G02B27/0179 (EP,US) 
G06F3/011 (EP,US) 
G06F3/012 (EP,US) 
G06F3/013 (EP,US) 
G02B2027/0138 (US) 
G02B2027/014 (US) 
G02B2027/0187 (EP,US)";"2016-08-04";"2016-08-04";"056553255";
"56";"On-line learning concentration detection system and method based on augmented reality glasses";"LIN ZAO 
SHI JIAN";"NINGBO SHIKE WUDIAN TECH CO LTD";"CN111429316A";"2020-03-23";"G06F3/01 
G06K9/00 
G06Q50/20 
G06T19/00";"G06F3/013 (CN) 
G06Q50/205 (CN) 
G06T19/006 (CN) 
G06V40/18 (CN)";"2020-07-17";"2020-07-17";"071548510";
"57";"AR TEXT INPUT DEVICE IN AUGMENTED REALITY GLASSES";"CHIWON CHOI 
CHOI JIWOONG";"P&C SOLUTION CO LTD [KR]";"KR102916376B1 
KR20240055579A";"2022-10-20";"G02B27/01 
G06F3/01 
G06F3/048 
H04M1/72409";"G02B27/0172 (KR) 
G06F3/011 (KR) 
G06F3/017 (KR) 
G06F3/048 (KR) 
H04M1/72409 (KR) 
H04M2250/02 (KR)";"2024-04-29 
2026-01-22";"2024-04-29";"090883717";
"58";"AR GLASSES WITH EVENT AND SENSOR TRIGGERED CONTROL OF AR EYEPIECE APPLICATIONS";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US]";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US] 
OSTERHOUT GROUP INC [US] 
MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US2012212414A1 
US9285589B2";"2010-02-28";"G06F3/033 
G02B27/01 
G06F1/16 
G06F3/00 
G06F3/01 
G06F3/048 
G06Q30/02 
F21V8/00 
G02B27/00 
G02B6/12";"G02B27/017 (EP,US) 
G06F1/163 (EP,US) 
G06F3/005 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US) 
G06Q30/02 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B27/0093 (EP,US) 
G02B6/0038 (EP,US) 
G02B6/0045 (EP,US) 
G02B6/0053 (EP,US) 
G02B6/0056 (EP,US) 
G02B6/12009 (EP,US)";"2012-08-23 
2016-03-15";"2012-08-23";"046652312";
"59";"Augmented reality-based logistics management vision picking system and method using wearable smart glasses a hands-free mobile computing technology";"JUNG KIHA 
PARK JUNGNAM 
KO SUNGBUM";"XPERT INC [KR]";"KR20220112442A";"2021-02-04";"G02B27/01 
G06Q10/06 
G06Q10/08 
G06Q10/10 
G06T19/00";"G06Q10/06314 (KR) 
G06Q10/087 (KR) 
G06Q10/10 (KR) 
G06T19/006 (KR) 
G02B2027/0178 (KR)";"2022-08-11";"2022-08-11";"082803183";
"60";"HMD Head mounted display apparatus and control method thereof";"KIM YOUNG DUCK [KR]";"POPSLINE CO LTD [KR] 
KIM YOUNG DUCK [KR]";"KR20180075099A";"2016-12-26";"G02B27/00 
G02B27/01 
G06T19/00 
H04N13/20";"G02B27/0093 (KR) 
G02B27/017 (KR) 
G06T19/006 (KR) 
H04N13/275 (KR)";"2018-07-04";"2018-07-04";"062913095";
"61";"ELECTRONIC DEVICE, HEAD-MOUNTED DISPLAY DEVICE, WEARABLE DEVICE, AND METHOD FOR OPERATING THE SAME";"BAE JAESUNG [KR] 
PARK HEECHAN [KR]";"SAMSUNG ELECTRONICS CO LTD [KR]";"US12608086B2 
US2023074476A1";"2021-08-26";"G02B27/00 
G02B27/01 
G06F1/16 
G06F3/01 
G06F3/04847 
G06V40/10 
G06V40/20 
H04W4/80";"G02B27/0093 (EP,KR,US) 
G02B27/0101 (EP,US) 
G02B27/0172 (EP,KR,US) 
G02B27/0176 (KR) 
G02B27/0179 (EP,US) 
G06F1/163 (EP,US) 
G06F3/011 (EP) 
G06F3/012 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US) 
G06F3/04847 (US) 
G06V20/20 (EP) 
G06V40/10 (US) 
G06V40/107 (EP) 
G06V40/28 (EP,US) 
H04W4/80 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,KR,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US)";"2023-03-09 
2026-04-21";"2023-03-02";"085321800";
"62";"Augmented reality glasses having advanced power efficiency";"IM CHAE YEOL [KR] 
KANG DONG SEOB [KR]";"KAY VISION INC [KR]";"KR20190098892A";"2018-02-14";"G02B27/01";"G02B27/017 (KR) 
G02B2027/0178 (KR)";"2019-08-23";"2019-08-23";"067763925";
"63";"PERIPHERAL DEVICE FOR HEAD-MOUNTED DISPLAY";"KAZANSKY LUCAS [US] 
GARCIA CHRISTOPHER MICHAELS [US] 
KOZLOWSKI MICHAEL [US] 
WANG XUAN [US] 
JUNG BERNHARD [AT] 
KALKGRUBER MATTHIAS [AT] 
WAGNER DANIEL [AT]";"KAZANSKY LUCAS [US] 
GARCIA CHRISTOPHER MICHAELS [US] 
KOZLOWSKI MICHAEL [US] 
WANG XUAN [US] 
JUNG BERNHARD [AT] 
KALKGRUBER MATTHIAS [AT] 
WAGNER DANIEL [AT] 
DAQRI LLC [US]";"US10663729B2 
US2018074329A1";"2016-09-15";"G02B27/01 
H04N5/225 
G02B27/00 
G06F3/01 
G06F3/03 
G06F3/0481 
G06F3/0484 
G06F3/0488 
G06T19/00 
G06F3/02 
G06F3/044 
H04N5/33";"G02B27/0093 (EP,US) 
G02B27/0172 (EP,US) 
G02B27/0176 (EP,US) 
G06F3/012 (EP,US) 
G06F3/013 (EP,US) 
G06F3/0325 (EP,US) 
G06F3/04815 (EP,US) 
G06F3/04842 (EP,US) 
G06F3/0488 (EP,US) 
G06T19/006 (EP,US) 
H04N23/56 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0156 (EP,US) 
G02B2027/0187 (EP,US) 
G02B2027/019 (EP,US) 
G06F3/02 (US) 
H04N23/20 (EP,US)";"2018-03-15 
2020-05-26";"2018-03-15";"061559726";
"64";"Augmented Reality Smart Glasses Device";"ATWOOD ASHLEY [US]";"ATWOOD ASHLEY [US]";"US2025271678A1";"2024-02-26";"G02B27/01 
G02C11/00 
G02C3/00";"G02C11/10 (EP) 
G02C3/003 (EP) 
G02C5/14 (EP) 
G02B27/0176 (EP) 
G02C11/06 (EP)";"2025-08-28";"2025-08-28";"096811489";
"65";"Augmented reality glasses and display method of augmented reality glasses";"ZHAO YUFENG";"HISENSE GROUP CO LTD";"CN115373144A 
CN115373144B";"2021-05-18";"G02B27/01 
H01Q1/27 
H01Q21/00";"G02B27/017 (CN) 
H01Q1/273 (CN) 
H01Q21/00 (CN) 
G02B2027/0178 (CN)";"2022-11-22 
2025-04-22";"2022-11-22";"084058565";
"66";"Anti-blue light adjustment control method and device, augmented reality glasses and storage medium";"SUN BO";"GOERTEK TECH CO LTD";"CN116913225A 
CN116913225B";"2023-07-31";"G09G3/00 
G09G5/02";"G09G3/001 (CN) 
G09G5/02 (CN) 
G09G2320/0666 (CN) 
G09G2360/145 (CN) 
Y02B20/40 (EP)";"2023-10-20 
2026-02-24";"2023-10-20";"088353073";
"67";"HMD Head mounted display apparatus and control method thereof";"KIM YOUNG DUCK [KR]";"POPSLINE CO LTD [KR] 
KIM YOUNG DUCK [KR]";"KR20180075098A";"2016-12-26";"G02B27/00 
G02B27/01 
G06F3/01 
G06T19/00";"G02B27/0093 (KR) 
G02B27/017 (KR) 
G06F3/013 (KR) 
G06T19/006 (KR)";"2018-07-04";"2018-07-04";"062913042";
"68";"Head mounted display apparatus, augmented reality system and control method for augmented reality";"HUANG CHIH-WEN [TW] 
YANG CHAO-KUANG [TW] 
HSU WEN-CHENG [TW]";"ACER INC [TW]";"TW202020505A 
TWI687720B";"2018-11-26";"G02B27/01";"";"2020-06-01 
2020-03-11";"2020-03-11";"070767224";
"69";"WIRELESS AUGMENTED REALITY GLASSES DEVICE FOR PROVIDING SUBTITLES IN CONCERT HALLS";"CHIWON CHOI";"P&C SOLUTION [KR]";"KR102316459B1";"2020-12-02";"G02B27/01 
G06T19/00";"";"2021-10-25";"2021-10-25";"078258634";
"70";"AR GLASSES WITH EVENT AND SENSOR TRIGGERED AR EYEPIECE INTERFACE TO EXTERNAL DEVICES";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US]";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US] 
OSTERHOUT GROUP INC [US] 
MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US2012206323A1 
US9759917B2";"2010-02-28";"G09G5/00 
G02B27/00 
G02B27/01 
G06F1/16 
G06F3/00 
G06F3/01 
G06Q30/02";"G02B27/0093 (EP,US) 
G02B27/017 (EP,US) 
G06F1/163 (EP,US) 
G06F3/005 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US) 
G06Q30/02 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US)";"2012-08-16 
2017-09-12";"2012-08-16";"046636487";
"71";"Novel mixed reality head-mounted display";"LIANG YANGHUI";"SOUTH CHINA INST OF SOFTWARE ENGINEERING GU";"CN211123484U";"2019-09-24";"G02B27/01";"";"2020-07-28";"2020-07-28";"071696250";
"72";"Head mounted display with virtual reality and augmented reality function";"ZHAO YAN 
DAI SHOUXIONG 
TAO RONG";"SHANGHAI QIYU NETWORK TECHNOLOGY CO LTD";"CN204855937U";"2015-04-10";"G02B27/01 
H04N13/04";"";"2015-12-09";"2015-12-09";"054746473";
"73";"Intelligent wearing AR augmented reality glasses";"LI YAN 
CUI HAITAO 
QIAN JIN 
YONG HAIBO";"GOOLTON TECHNOLOGY CO LTD";"CN212623358U";"2020-08-13";"G02B27/01";"";"2021-02-26";"2021-02-26";"074712094";
"74";"AR GLASSES AS IOT DEVICE FOR ENHANCED SCREEN EXPERIENCE";"GURGUL PIOTR [CH] 
MOLL SHARON [CH]";"GURGUL PIOTR [CH] 
MOLL SHARON [CH] 
SNAP INC [US]";"US12501099B2 
US2024244285A1";"2023-01-17";"G06F3/01 
G06T13/00 
G06T3/40 
H04N21/422";"G02B27/017 (EP,KR) 
G06F3/011 (EP,KR) 
G06F3/012 (EP,US) 
G06F3/013 (EP) 
G06F3/017 (EP,KR,US) 
G06T13/00 (KR,US) 
G06T19/006 (EP,KR) 
G06T3/40 (KR,US) 
G06V20/20 (EP,KR) 
H04N21/4222 (KR,US) 
G02B2027/0138 (EP,KR) 
G02B2027/014 (EP,KR) 
G02B2027/0178 (EP,KR) 
G06F2203/0381 (EP,KR)";"2024-07-18 
2025-12-16";"2024-07-18";"089977826";
"75";"Augmented reality glasses and method for adjusting display picture thereof";"LI ZHUOBIN 
LI HUI";"VIVO MOBILE COMMUNICATION CO LTD";"CN113126300A 
CN113126300B";"2021-04-13";"G02B27/01 
G02F1/153 
G02F1/163";"G02B27/0172 (CN) 
G02F1/1533 (CN) 
G02F1/163 (CN) 
G02B2027/0178 (CN)";"2021-07-16 
2023-12-05";"2021-07-16";"076776232";
"76";"AUGMENTED REALITY GLASSES";"WANG ZIFENG [CN]";"BOE TECHNOLOGY GROUP CO LTD [CN]";"US11030809B2 
US2020320790A1";"2017-06-26";"G02B27/01 
G06T19/00 
G02C3/00 
G02C5/22";"G02B27/0172 (EP,CN,US) 
G02B27/0176 (EP,CN,US) 
G06T19/006 (US) 
G02B2027/0132 (US) 
G02B2027/0138 (CN,US) 
G02B2027/0178 (US) 
G02C3/003 (US) 
G02C5/2281 (US)";"2020-10-08 
2021-06-08";"2019-01-01";"064733976";
"77";"TWO-WAY COMMUNICATION BETWEEN HEAD-MOUNTED DISPLAY AND ELECTROANATOMIC SYSTEM";"SILVA JENNIFER N AVARI [US] 
SILVA JONATHAN R [US] 
SOUTHWORTH MICHAEL K [US] 
SORIANO IGNACIO [ES] 
DAGLEY MATTHEW [US] 
ANDREWS CHRISTOPHER MICHAEL [US] 
RAZZAQUE SHARIF [US] 
HOUGARD IRENE [US] 
TAS BERK [US]";"SENTIAR INC [US]";"US12277267B2 
US2023341932A1";"2022-04-22";"G06F3/01 
G06F3/04815 
G06F3/14 
G06T19/00";"G06F1/163 (EP) 
G06F3/011 (EP) 
G06F3/012 (EP) 
G06F3/013 (EP,US) 
G06F3/017 (EP) 
G06F3/04815 (EP,US) 
G06F3/04842 (EP) 
G06F3/04845 (EP) 
G06F3/1423 (US) 
G06T19/006 (US) 
A61B2017/00053 (EP) 
A61B2017/00203 (EP) 
A61B2017/00216 (EP) 
A61B2034/105 (EP) 
A61B2034/107 (EP) 
A61B2034/301 (EP) 
A61B2090/365 (EP) 
A61B2090/372 (EP) 
A61B2090/502 (EP) 
A61B34/25 (EP) 
A61B34/70 (EP) 
A61B90/94 (EP) 
A61B90/96 (EP) 
G02B2027/0187 (EP) 
G06T2200/24 (US)";"2023-10-26 
2025-04-15";"2023-10-26";"088415373";
"78";"Augmented reality glasses and system";"GOTO RYUICHIRO 
C WHEELER";"NIO NEXTEV LTD";"CN208207372U";"2018-03-22";"G02B27/00 
G02B27/01";"";"2018-12-07";"2018-12-07";"064527423";
"79";"Augmented reality glasses and system, and method of augmented reality glasses for displaying onboard information";"GOTO RYUICHIRO 
C WHEELER";"NIO NEXTEV LTD";"CN110297325A 
CN110297325B";"2018-03-22";"G02B27/00 
G02B27/01";"G02B27/0093 (CN) 
G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2019-10-01 
2023-01-13";"2019-10-01";"068025500";
"80";"Augmented Reality Head-Mounted Display";"CHEN JOHN JIANNYUH [US]";"HJY FORWARD MEDICAL INVEST CO LTD [MU]";"US12140768B2 
US2023236427A1";"2022-01-24";"G02B27/01 
G06F1/16 
G06F3/01 
H05K5/00";"G02B27/017 (US) 
G02B27/0172 (EP,US) 
G02B27/0176 (EP,US) 
G06F1/163 (US) 
G06F3/011 (US) 
H05K5/0017 (US)";"2023-07-27 
2024-11-12";"2022-08-11";"083783694";
"81";"AR glasses text editing system and method based on flexible sensing wrist strap";"WANG ZHIQIANG 
ZHAN LISHUANG 
SONG YUEXIN 
XIONG TIANYANG 
ZHU GAOXIANG 
CAI YANPING 
LIU LILIANG 
YAN PING 
LIU YING";"HUNAN HUANAN OPTO ELECTRO GROUP CO LTD";"CN117149045A";"2023-09-20";"G06F3/041 
G06F3/04812 
G06F3/04883 
H04N13/344 
H04N13/398";"G06F3/0414 (CN) 
G06F3/04812 (CN) 
G06F3/04883 (CN) 
H04N13/344 (CN) 
H04N13/398 (CN)";"2023-12-01";"2023-12-01";"088904480";
"82";"STYLUSES, HEAD-MOUNTED DISPLAY SYSTEMS, AND RELATED METHODS";"IKEDA JOHN [US] 
MILLER ROBIN MICHAEL [US] 
HIGGINS JASON ANDREW [US] 
BOULOS KHALED [US] 
CHEN CHUN LI [US] 
BRISTOL PETER WESLEY [US]";"OCULUS VR LLC [US]";"US2019369752A1";"2018-05-30";"G02B27/01 
G06F3/01 
G06F3/0354 
G06F3/045 
G06F3/0488";"G02B27/017 (CN,US) 
G06F3/011 (EP) 
G06F3/016 (CN,US) 
G06F3/017 (EP,US) 
G06F3/0304 (EP) 
G06F3/0308 (EP) 
G06F3/0346 (EP) 
G06F3/03545 (EP,CN,US) 
G06F3/03546 (EP) 
G06F3/0383 (EP) 
G06F3/045 (US) 
G06F3/04883 (US) 
G02B27/017 (EP) 
G06F2203/0339 (EP)";"2019-12-05";"2019-12-05";"068693736";
"83";"Man-machine interaction method and augmented reality AR glasses";"CHEN JIALU 
YU ZHIXIONG 
SUN BOHAN 
ZHANG ZHENGTAO";"BEIJING XIAOMI MOBILE SOFTWARE CO LTD";"CN118192792A";"2022-12-14";"G06F3/01 
G06F3/04815 
G06F3/0482 
G06F3/0483";"G06F3/011 (CN) 
G06F3/017 (CN) 
G06F3/04815 (CN) 
G06F3/0482 (CN) 
G06F3/0483 (CN)";"2024-06-14";"2024-06-14";"091393650";
"84";"Augmented reality glasses";"LIU GE";"BEIJING XUNTONG ANTIAN COMMUNICATION TECH CO LTD";"CN215575936U";"2021-06-30";"G02B27/01";"";"2022-01-18";"2022-01-18";"079822356";
"85";"HEAD-MOUNTED DISPLAY DEVICE WITH ELECTROMAGNETIC SENSOR";"ABBOTT ERIC CHARLES [US]";"MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US2019204599A1";"2017-12-28";"G02B27/00 
G02B27/01 
G06F3/01 
G06K9/00 
G06T19/00";"G02B27/0093 (US) 
G02B27/017 (EP,US) 
G06F3/011 (EP,US) 
G06F3/012 (EP,US) 
G06T19/006 (US) 
G06V20/20 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US)";"2019-07-04";"2019-07-04";"064949406";
"86";"AUGMENTED REALITY GLASSES";"DONG RUIJUN [CN] 
ZHANG HAO [CN] 
CHEN LILI [CN] 
WANG CHENRU [CN] 
ZHANG XUEBING [CN] 
LIU YALI [CN]";"BEIJING BOE OPTOELECTRONICS TECH CO LTD [CN] 
BOE TECHNOLOGY GROUP CO LTD [CN]";"US11300789B2 
US2021341738A1";"2018-01-02";"G02B27/01 
G02B27/28";"G02B27/0172 (EP,CN,US) 
G02B27/283 (EP,US) 
G02B2027/0178 (EP,CN,US)";"2021-11-04 
2022-04-12";"2018-04-27";"061993453";
